Clave,Producto,Id Sucursal,Fecha Pedido,Cantidad,Importe s/impuesto,Existencia
10000000219,BRA DON PEDRO 750ML,1203,2022-03-30,1.0,81.0,5.0
10000000595,JE TIO PEPE 750ML,1203,2022-03-30,1.0,214.0,112.0
10000001872,BRA PRESIDENTE CLASICO 1.750 1LS,1203,2022-03-30,2.0,274.0,
10000004577,MEZ ZIGNUM PLATINUM JOVEN 700 ML,1203,2022-03-30,1.0,205.0,44.0
10000016711,LI LOS REYES 900ML,1203,2022-03-30,1.0,49.0,28.0
10000000207,BRA AZTECA DE ORO 700ML,1008,2022-03-30,1.0,96.0,70.0
10000000207,BRA AZTECA DE ORO 700ML,1008,2022-03-30,-1.0,-96.0,70.0
10000000231,BRA PRESIDENTE SOLERA 700ML,1008,2022-03-30,2.0,124.0,64.0
10000002014,VT CABERNET SAUVIGNON XA DOMECQ 750ML,1008,2022-03-30,1.0,99.0,29.0
10000002801,BRA PRESIDENTE CLASICO 700ML,1008,2022-03-30,1.0,62.0,11.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0608,2022-03-30,1.0,21.0,
10000001873,BRA PRESIDENTE CLASICO 200ML,0608,2022-03-30,1.0,20.0,
10000001873,BRA PRESIDENTE CLASICO 200ML,0608,2022-03-30,1.0,20.0,
10000001873,BRA PRESIDENTE CLASICO 200ML,0608,2022-03-30,1.0,20.0,
10000002013,VT CABERNET SAUVIGNON XA DOMECQ 375ML,0608,2022-03-30,1.0,55.0,5.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0402,2022-03-30,2.0,41.0,12.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0402,2022-03-30,1.0,20.0,12.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0402,2022-03-30,1.0,20.0,12.0
10000002801,BRA PRESIDENTE CLASICO 700ML,0402,2022-03-30,1.0,62.0,17.0
10000006714,MEZ RECUERDO DE OAXACA JOVEN C/GU 750ML,0402,2022-03-30,1.0,256.0,13.0
10000004293,BRA DON PEDRO CLASICO 1L,0301,2022-03-30,1.0,100.0,5.0
10000004293,BRA DON PEDRO CLASICO 1L,0301,2022-03-30,1.0,100.0,6.0
10000000220,BRA DON PEDRO RVA ESPECIAL 1L,0304,2022-03-30,1.0,105.0,2.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0304,2022-03-30,1.0,20.0,15.0
10000002801,BRA PRESIDENTE CLASICO 700ML,0304,2022-03-30,1.0,62.0,9.0
10000016711,LI LOS REYES 900ML,0304,2022-03-30,1.0,45.0,2.0
10000001917,VT BERONIA CRIANZA 750ML,0605,2022-03-30,1.0,202.0,17.0
10000001917,VT BERONIA CRIANZA 750ML,0605,2022-03-30,-1.0,-202.0,17.0
10000000595,JE TIO PEPE 750ML,0502,2022-03-30,1.0,253.0,23.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0502,2022-03-30,1.0,20.0,18.0
10000002801,BRA PRESIDENTE CLASICO 700ML,0601,2022-03-30,1.0,62.0,24.0
10000002801,BRA PRESIDENTE CLASICO 700ML,0601,2022-03-30,-1.0,-62.0,24.0
10000000595,JE TIO PEPE 750ML,0409,2022-03-30,1.0,214.0,15.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0406,2022-03-30,1.0,20.0,13.0
10000000207,BRA AZTECA DE ORO 700ML,0602,2022-03-30,1.0,94.0,43.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0602,2022-03-30,1.0,20.0,29.0
10000002014,VT CABERNET SAUVIGNON XA DOMECQ 750ML,0602,2022-03-30,3.0,291.0,24.0
10000002014,VT CABERNET SAUVIGNON XA DOMECQ 750ML,0602,2022-03-30,1.0,99.0,24.0
10000002014,VT CABERNET SAUVIGNON XA DOMECQ 750ML,0602,2022-03-30,-3.0,-291.0,24.0
10000000595,JE TIO PEPE 750ML,0501,2022-03-30,1.0,253.0,32.0
10000000216,BRA DON PEDRO 1.750ML,0303,2022-03-30,1.0,171.0,3.0
10000000217,BRA DON PEDRO 200ML,0303,2022-03-30,2.0,43.0,4.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0303,2022-03-30,1.0,20.0,46.0
10000006714,MEZ RECUERDO DE OAXACA JOVEN C/GU 750ML,0303,2022-03-30,1.0,256.0,2.0
10000020812,GIN MEXICANA CANTERA VERDE 750ML,0303,2022-03-30,1.0,158.0,8.0
10000004293,BRA DON PEDRO CLASICO 1L,0403,2022-03-30,1.0,102.0,7.0
10000004577,MEZ ZIGNUM PLATINUM JOVEN 700 ML,0403,2022-03-30,1.0,281.0,5.0
10000000238,BRA TERRY 1900 700ML,0603,2022-03-30,2.0,468.0,10.0
10000000595,JE TIO PEPE 750ML,0603,2022-03-30,1.0,258.0,31.0
10000000240,BRA TERRY CENTENARIO 700ML,0506,2022-03-30,1.0,188.0,14.0
10000000595,JE TIO PEPE 750ML,0506,2022-03-30,3.0,773.0,59.0
10000000595,JE TIO PEPE 750ML,0506,2022-03-30,1.0,258.0,59.0
10000000595,JE TIO PEPE 750ML,0506,2022-03-30,1.0,253.0,59.0
10000002014,VT CABERNET SAUVIGNON XA DOMECQ 750ML,0506,2022-03-30,2.0,194.0,2.0
10000001917,VT BERONIA CRIANZA 750ML,0408,2022-03-30,2.0,404.0,21.0
10000016711,LI LOS REYES 900ML,0410,2022-03-30,1.0,45.0,11.0
10000000207,BRA AZTECA DE ORO 700ML,0302,2022-03-30,1.0,94.0,9.0
10000000672,BRA DON PEDRO GRAN RVA ESP 200ML,0302,2022-03-30,1.0,23.0,
10000001873,BRA PRESIDENTE CLASICO 200ML,0302,2022-03-30,7.0,142.0,27.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0302,2022-03-30,3.0,61.0,27.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0302,2022-03-30,3.0,61.0,27.0
10000001873,BRA PRESIDENTE CLASICO 200ML,0302,2022-03-30,1.0,20.0,27.0
10000002801,BRA PRESIDENTE CLASICO 700ML,0302,2022-03-30,1.0,62.0,11.0
10000000216,BRA DON PEDRO 1.750ML,0401,2022-03-30,1.0,171.0,5.0
10000000217,BRA DON PEDRO 200ML,0401,2022-03-30,1.0,21.0,17.0
10000000595,JE TIO PEPE 750ML,0401,2022-03-30,6.0,1283.0,55.0
10000004129,BRA DON PEDRO CLASICO 750ML,0401,2022-03-30,4.0,320.0,27.0
